iter	Passed	Remaining
803	1580	385
804	1581	383
805	1584	381
806	1585	379
807	1587	377
808	1588	375
809	1589	372
810	1591	370
811	1592	368
812	1594	366
813	1595	364
814	1597	362
815	1599	360
816	1601	358
817	1602	356
818	1603	354
819	1605	352
820	1606	350
821	1608	348
822	1609	346
823	1611	344
824	1613	342
825	1614	340
826	1616	338
827	1617	336
828	1619	333
829	1620	331
830	1621	329
831	1623	327
832	1625	325
833	1626	323
834	1628	321
835	1630	319
836	1631	317
837	1633	315
838	1634	313
839	1635	311
840	1637	309
841	1638	307
842	1640	305
843	1641	303
844	1643	301
845	1645	299
846	1646	297
847	1648	295
848	1649	293
849	1650	291
850	1652	289
851	1654	287
852	1659	285
853	1661	284
854	1663	282
855	1664	280
856	1666	278
857	1668	276
858	1669	274
859	1671	272
860	1672	270
861	1674	268
862	1676	266
863	1677	264
864	1679	262
865	1680	260
866	1682	258
867	1684	256
868	1685	254
869	1687	252
870	1689	250
871	1691	248
872	1692	246
873	1694	244
874	1695	242
875	1697	240
876	1698	238
877	1700	236
878	1701	234
879	1703	232
880	1705	230
881	1706	228
882	1707	226
883	1709	224
884	1711	222
885	1712	220
886	1713	218
887	1715	216
888	1716	214
889	1718	212
890	1720	210
891	1721	208
892	1723	206
893	1724	204
894	1725	202
895	1727	200
896	1728	198
897	1730	196
898	1731	194
899	1733	192
900	1735	190
901	1737	188
902	1738	186
903	1739	184
904	1741	182
905	1742	180
906	1744	178
907	1745	176
908	1747	174
909	1749	172
910	1750	171
911	1752	169
912	1753	167
913	1755	165
914	1756	163
915	1757	161
916	1759	159
917	1760	157
918	1762	155
919	1764	153
920	1766	151
921	1767	149
922	1769	147
923	1771	145
924	1773	143
925	1775	141
926	1779	140
927	1781	138
928	1782	136
929	1784	134
930	1785	132
931	1787	130
932	1788	128
933	1790	126
934	1791	124
935	1794	122
936	1795	120
937	1797	118
938	1798	116
939	1800	114
940	1801	112
941	1802	111
942	1804	109
943	1808	107
944	1810	105
945	1811	103
946	1813	101
947	1814	99
948	1816	97
949	1817	95
950	1819	93
951	1822	91
952	1825	90
953	1826	88
954	1828	86
955	1830	84
956	1831	82
957	1833	80
958	1834	78
959	1849	77
960	1850	75
961	1854	73
962	1857	71
963	1858	69
964	1859	67
965	1861	65
966	1863	63
967	1864	61
968	1866	59
969	1868	57
970	1871	55
971	1872	53
972	1874	52
973	1876	50
974	1877	48
975	1879	46
976	1881	44
977	1884	42
978	1886	40
979	1887	38
980	1889	36
981	1891	34
982	1893	32
983	1895	30
984	1897	28
985	1900	26
986	1902	25
987	1904	23
988	1905	21
989	1907	19
990	1908	17
991	1910	15
992	1912	13
993	1914	11
994	1916	9
995	1918	7
996	1919	5
997	1921	3
998	1922	1
999	1924	0
